CERT,NAME,CITY
29206,GRAHAM SAVINGS&LOAN SSB,GRAHAM
29208,DALHART FS&LA SSB,DALHART
29209,NEXBANK,DALLAS
29227,WASHINGTON SAVINGS BANK,EFFINGHAM
29231,COUNTY SAVINGS BANK,ESSINGTON
29238,WOODRUFF FS&LA,WOODRUFF
29241,HENDERSON FSB,HENDERSON
29268,EUREKA HOMESTEAD,METAIRIE
29293,CUMBERLAND FEDERAL BANK FSB,CUMBERLAND
29294,PREVAIL BANK,MEDFORD
29331,TC FEDERAL BANK,THOMASVILLE
29332,FIRST SOUTHERN BANK,FLORENCE
29345,FIRST FS&LA,DELTA
29357,FAMILY BANK,PELHAM
29379,SIDNEY FS&LA,SIDNEY
29384,PERU FEDERAL SAVINGS BANK,PERU
29399,GN BANK,CHICAGO
29426,WORTHINGTON FSB FSB,WORTHINGTON
29430,COMPASS SAVINGS BANK,WILMERDING
29449,NORTH SIDE FS&LA OF CHICAGO,CHICAGO
29471,ARMSTRONG COUNTY BLDG&LA,FORD CITY
29476,HOME FS&LA OF GRAND ISLAND,GRAND ISLAND
29486,KINGSTREE FS&LA,KINGSTREE
29488,FIRST FS&LA OF LAKEWOOD,LAKEWOOD
29490,FIRST FS&LA OF RAVENSWOOD,RAVENSWOOD
29495,GREENWAY BANK,VAN WERT
29496,SENECA SAVINGS,BALDWINSVILLE
29510,AFFINITY BANK NATIONAL ASSN,COVINGTON
29517,PIONEER FS&LA,DEER LODGE
29520,WASHINGTON FINANCIAL BANK,WASHINGTON
29521,FIDELITY FS&LA OF DELAWARE,DELAWARE
29523,PEOPLES BANK,MUNSTER
29535,DEWITT SAVINGS BANK,CLINTON
29537,FIRST FEDERAL BANK&TRUST,SHERIDAN
29546,GREAT SOUTHERN BANK,REEDS SPRING
29548,PINNACLE BANK,JASPER
29566,UNITED FIDELITY BANK FSB,EVANSVILLE
29571,HOME S&L KENTON OH DBA HSLC,KENTON
29577,HERITAGE BANK OF ST TAMMANY,COVINGTON
29578,MONROE FS&LA,TIPP CITY
29582,PEE DEE FEDERAL SAVINGS BANK,MARION
29613,ROSEDALE FS&LA,NOTTINGHAM
29617,FIRST MUTUAL BANK FSB,BELPRE
29624,FIRST FS&LA OF MCMINNVILLE,MCMINNVILLE
29627,SECOND FS&LA OF PHILADELPHIA,PHILADELPHIA
29632,WINDSOR FEDERAL BANK,WINDSOR
29636,FIRST FS&LA OF BATH,BATH
29637,BIG HORN FSB,GREYBULL
29645,FIRST FS&LA OF CNTL IL S B,SHELBYVILLE
29657,GREAT MIDWEST BANK SSB,BROOKFIELD
29672,CFSBANK,CHARLEROI
29675,IROQUOIS FS&LA,WATSEKA
29676,PAPER CITY SAVINGS BANK SA,WISCONSIN RAPIDS
29677,NASHVILLE SAVINGS BANK,NASHVILLE
29679,ANTHEM BANK&TRUST,PLAQUEMINE
29683,HOME FEDERAL BANK OF TN,KNOXVILLE
29685,MARTINSVILLE FIRST SB,MARTINSVILLE
29690,FIRST FEDERAL SAVINGS BANK,HUNTINGTON
29691,KEYSAVINGS BANK,WISCONSIN RAPIDS
29692,LINCOLN FSB OF NEBRASKA,LINCOLN
29695,HOME LOAN SAVINGS BANK,COSHOCTON
29696,BUFFALO FEDERAL BANK,BUFFALO
29700,CENTURY NEXT BANK,RUSTON
29705,FIRST FED CMTY BK OF BUCYRUS,BUCYRUS
29708,NORTH AMERICAN SB FSB,GRANDVIEW
29710,FIRST FSB OF WASHINGTON,WASHINGTON
29731,SOUTHERN BANK CO,GADSDEN
29743,AROOSTOOK COUNTY FS&LA,CARIBOU
29744,FIRST SEACOAST BANK,DOVER
29745,MARATHON BANK,WAUSAU
29749,SOUTHERN HILLS CMTY BANK,LEESBURG
29764,CLAY COUNTY SAVINGS BANK,LIBERTY
29771,KS BANK INC,SMITHFIELD
29772,VIDALIA FEDERAL SAVINGS BANK,VIDALIA
29774,CARROLLTON FEDERAL BANK,CARROLLTON
29782,FIRST FEDERAL BANK,DICKSON
29783,HIGH COUNTRY BANK,SALIDA
29787,FIRST FEDERAL CMTY BANK NA,DOVER
29800,LISLE SAVINGS BANK,LISLE
29804,CATALYST BANK,OPELOUSAS
29809,FIRST SB OF HEGEWISCH,CHICAGO
29813,PEOPLES SAVINGS&LOAN CO,BUCYRUS
29835,MILFORD FEDERAL BANK,MILFORD
29838,FIRST FS&LA OF LORAIN,LORAIN
29839,CROSSROADS BANK,WABASH
29842,COMMONWEALTH COOP BANK,HYDE PARK
29846,EATON COMMUNITY BANK,CHARLOTTE
29847,MAIN STREET BANK CORP,WOOSTER
29857,LIBERTY SAVINGS ASSN FSA,FORT SCOTT
29858,SSB COMMUNITY BANK,STRASBURG
29874,DEARBORN FSB,DEARBORN
29875,NVE BANK,ENGLEWOOD
29878,AMERICAN CMTY BANK OF IN,SAINT JOHN
29881,HOME BANK SB,MARTINSVILLE
29904,ELIZABETHTON FSB,ELIZABETHTON
29907,LOGANSPORT SAVINGS BANK,LOGANSPORT
29910,SCOTTSBURG BLDG&LA,SCOTTSBURG
29922,RIVERVIEW BANK,VANCOUVER
29933,UNION SAVINGS&LOAN ASSN,CONNERSVILLE
29937,FIRST FSB OF KENTUCKY,FRANKFORT
29941,BOGOTA SAVINGS BANK,TEANECK
29950,SANTANDER BANK N A,WILMINGTON
29961,FIRST SAVINGS BANK,JEFFERSONVILLE
29966,EQUITABLE SAVINGS&LOAN CO,CADIZ
29975,PEOPLES SAVINGS BANK,URBANA
29980,MIDLAND FS&LA,BRIDGEVIEW
29988,MUTUAL SAVINGS ASSN,LEAVENWORTH
29995,PHOENIXVILLE FEDERAL B&T,PHOENIXVILLE
30012,THIRD FS&LA OF CLEVELAND,CLEVELAND
30031,HUNTINGDON SAVINGS BANK,HUNTINGDON
30039,HAVEN SAVINGS BANK,HOBOKEN
30043,BEARDSTOWN SAVINGS S B,BEARDSTOWN
30052,BLUE FOUNDRY BANK,RUTHERFORD
30058,FIRST FS&LA OF GREENSBURG,GREENSBURG
30065,PEOPLES CMTY BK SB MONTICELL,MONTICELLO
30067,CORNERSTONE BANK,CLARINDA
30072,SCHUYLER SAVINGS BANK,KEARNY
30076,SPENCER SAVINGS BANK SLA,ELMWOOD PARK
30084,MERCER SAVINGS BANK,CELINA
30085,PRESENCE BANK,COATESVILLE
30103,MONROE SAVINGS BANK,WILLIAMSTOWN
30111,OCONEE FS&LA,SENECA
30117,RELIANCE SAVINGS BANK,ALTOONA
30119,PENNCREST BANK,ALTOONA
30121,INVESTMENT SAVINGS BANK,ALTOONA
30128,BOONVILLE FSB,BOONVILLE
30133,MID-SOUTHERN SB FSB,SALEM
30150,CITIZENS FSB,LEAVENWORTH
30152,MILFORD BUILDING&LOAN ASSN,MILFORD
30154,SEWICKLEY SAVINGS BANK,SEWICKLEY
30155,HATBORO FEDERAL SAVINGS FA,HATBORO
30166,FIRST CMTY BANK OF CULLMAN,CULLMAN
30167,CULLMAN SAVINGS BANK,CULLMAN
30176,HOME SB OF WAPAKONETA,WAPAKONETA
30182,OPPORTUNITY BANK OF MONTANA,HELENA
30183,MILLVILLE SAVINGS BANK,MILLVILLE
30219,HOMETOWN BANK,KENT
30220,CHESTER NATIONAL BANK,CHESTER
30260,CROSS COUNTY SAVINGS BANK,MIDDLE VILLAGE
30270,CITIZENS SAVINGS BANK,BOGALUSA
30291,FIRST FED BK LITTLEFIELD TX,LITTLEFIELD
30303,MASPETH FS&LA,MASPETH
30313,EAST WISCONSIN SAVINGS BANK,KAUKAUNA
30315,FIRST FSB OF LINCOLNTON,LINCOLNTON
30332,ABBEVILLE BLDG&L STATE-CHART,ABBEVILLE
30339,BEAUREGARD FSB,DERIDDER
30350,BANK OF BENNINGTON,BENNINGTON
30357,STREATOR HOME SAVINGS BANK,STREATOR
30358,FIRST SAVINGS&LOAN ASSN,MEBANE
30367,1ST BANK OF SEA ISLE CITY,SEA ISLE CITY
30387,FIRSTBANK PUERTO RICO,SANTURCE
30388,GUNNISON SAVINGS&LOAN ASSN,GUNNISON
30394,CARVER FEDERAL SAVINGS BANK,NEW YORK
30395,TECUMSEH FEDERAL BANK,TECUMSEH
30397,GEDDES FS&LA,SYRACUSE
30401,PENN COMMUNITY BANK,DOYLESTOWN
30402,FRANKLIN BANK,PILESGROVE
30422,FIRST FEDERAL BANK OF WI,WAUKESHA
30428,CENTURY SAVINGS BANK,VINELAND
30429,MASSENA SAVINGS&LOAN,MASSENA
30431,SSB BANK,PITTSBURGH
30434,MORGANTON SAVINGS BANK SSB,MORGANTON
30441,FIRST FEDERAL BANK OF LA,LAKE CHARLES
30447,RAYNE BUILDING&LOAN ASSN,RAYNE
30470,MANASQUAN BANK,MANASQUAN
30492,JACKSON FS&LA,JACKSON
30516,CROSSBRIDGE COMMUNITY BANK,TOMAHAWK
30530,LAKE SHORE SAVINGS BANK,DUNKIRK
30544,MARQUETTE SAVINGS BANK,ERIE
30551,WESTMORELAND FS&LA,LATROBE
30585,MAYVILLE SAVINGS BANK,MAYVILLE
30595,F&M BANK&TRUST CO,HANNIBAL
30619,ABBEVILLE FIRST BANK SSB,ABBEVILLE
30637,GREENVILLE SAVINGS BANK,GREENVILLE
30656,NORTH COUNTY SAVINGS BANK,RED BUD
30680,FIRST SHORE FS&LA,SALISBURY
30688,PEOPLES FIRST SAVINGS BANK,MASON
30692,BANKPACIFIC LTD,HAGATNA
30704,MAGYAR BANK,NEW BRUNSWICK
30707,EQUITABLE SAVINGS&LOAN ASSN,STERLING
30722,UNIVERSAL BANK,WEST COVINA
30776,PATHWARD NATIONAL ASSN,SIOUX FALLS
30788,GLACIER BANK,KALISPELL
30812,FIRST FS&LA,PASCAGOULA
30819,COMMUNITY PARTNERS SB,SALEM
30836,TERRITORIAL SAVINGS BANK,HONOLULU
30878,BAR HARBOR SAVINGS&LOAN ASSN,BAR HARBOR
30879,PROVIDENT SAVINGS BANK FSB,RIVERSIDE
30889,PEOPLES SAVINGS&LOAN CO,WEST LIBERTY
30895,FIDELITY BANK NATIONAL ASSN,WICHITA
30943,MID-CENTRAL NATIONAL BANK,WADENA
30953,EL DORADO SAVINGS BANK FSB,PLACERVILLE
30969,FIRST FSB OF MASCOUTAH,MASCOUTAH
30976,GOUVERNEUR SAVINGS&LOAN ASSN,GOUVERNEUR
30987,SPRATT SAVINGS BANK,CHESTER
30996,CENLAR FSB,EWING
31028,HOMETOWN BANK,CARVER
31043,INTERSTATE BANK,PERRYTON
31077,FIRST FEDERAL BANK,DUNN
31083,JARRETTSVILLE FS&LA,JARRETTSVILLE
31089,PICKENS SAVINGS&LOAN ASSN FA,PICKENS
31090,BLUE GRASS FS&LA,PARIS
31100,SECURITY FEDERAL BANK,AIKEN
31121,CECIL BANK,ELKTON
31127,FIRST FEDERAL BANK A FSB,TUSCALOOSA
31146,SECURITY FSB OF MCMINNVILLE,MCMINNVILLE
31158,FIRST SOUTHERN BANK,COLUMBIA
31184,CITIZENS SAVINGS BANK,CLARKS SUMMIT
31189,PONCE BANK,BRONX
31197,FIRST FS&LA,HAZARD
31198,GREENEVILLE FEDERAL BANK FSB,GREENEVILLE
31217,LIFESTORE BANK,WEST JEFFERSON
31223,FIRST HARRISON BANK,CORYDON
31232,HIGHLAND FS&LA,CROSSVILLE
31236,HEARTHSIDE BANK CORP,MIDDLESBORO
31249,1ST UNITED BANK,FARIBAULT
31266,JACKSON SAVINGS BANK SSB,SYLVA
31267,HOMEWOOD FSB,BALTIMORE
31272,COMMUNITY BANK,LEXINGTON
31313,FIRST FEDERAL BANK,LAKE CITY
31329,WEST PLAINS S&LA,WEST PLAINS
31345,HERTFORD SAVINGS BANK SSB,HERTFORD
31361,COLONIAL SAVINGS FA,FORT WORTH
31390,AXIOM BANK NATIONAL ASSN,MAITLAND
31406,FIRST FS&LA OF SAN RAFAEL,SAN RAFAEL
31409,FIRST FS&LA,MOREHEAD
31410,1ST FSB OF SC INC,WALTERBORO
31461,HARLEYSVILLE BANK,HARLEYSVILLE
31469,ORIENTAL BANK,SAN JUAN
31479,FIRST FIDELITY BANK,FORT PAYNE
31485,EQUITABLE BANK,GRAND ISLAND
31488,PROGRESSIVE OZARK BANK,SALEM
31516,FIRST FEDERAL SAVINGS BANK,ROCHESTER
